P1	Wed Feb 26 13:40:34 2020																								
Replication	Start Time	End Time																							
1	6	66																							
2	72	132																							
3	138	198																							
4	204	264																							
5	270	330																							
6	336	396																							
7	402	462																							
8	468	528																							
9	534	594																							
10	600	660																							
																									
Title	Units	Rep	Min	Max	Mean	Standard Deviation	Sum	Sum of Squares	Count	Lower Limit	Upper Limit	Interval	Int. Min	Int. Max	Int. Mean	Int. Std Dev	Int. Sum	Int. Sum of Squares	Int. Count	Int. Lower Limit	Int. Upper Limit				Intervalo de confianza
Message Delivery from Dublin	seconds	9	0.045937385	0.754451224	0.293246297	0.218333602	2.932462965	1.33662952	10																
Message Delivery from Dublin	seconds	10	0.094696172	1.091114947	0.496791334	0.29338978	7.451870004	4.993187882	15																
Message Delivery from Dublin	seconds	0	0.220472939	0.496791334	0.356914963	0.100421802	3.569149631	1.364643753	10	0.298702434	0.415127492														
Message Delivery from Dublin	seconds	-1	0.010625064	1.890505044	0.369734941	0.35525437	49.1747472	34.966976	133																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	1	0.053441948	1.807059	0.352113835	0.417470225	5.985935202	5.070514217	17																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	2	0.02250128	1.890505044	0.460209446	0.546340471	7.82356058	8.674770949	17																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	3	0.048128904	0.7053837	0.3204011	0.215214323	3.5244121	1.638714766	11																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	4	0.013437852	1.093235912	0.244085708	0.336232336	2.684942788	1.898930185	11																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	5	0.010625064	0.981077522	0.44133474	0.305818879	7.06135584	4.612824634	16																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	6	0.022813812	1.182307532	0.46048742	0.41745562	5.525849041	4.635814302	12																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	7	0.032814836	0.54286706	0.280006813	0.173595082	4.200102188	1.628086011	15																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	8	0.102509472	0.322219468	0.220472939	0.066690601	1.984256452	0.477503578	9																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	9	0.045937385	0.754451224	0.293246297	0.218333602	2.932462965	1.33662952	10																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	10	0.094696172	1.091114947	0.496791334	0.29338978	7.451870004	4.993187882	15																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	0	0.220472939	0.496791334	0.356914963	0.100421802	3.569149631	1.364643753	10	0.298702434	0.415127492														
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	-1	0.010625064	1.890505044	0.369734941	0.35525437	49.1747472	34.966976	133																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	1	0.053441948	1.807059	0.352113835	0.417470225	5.985935202	5.070514217	17																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	2	0.02250128	1.890505044	0.460209446	0.546340471	7.82356058	8.674770949	17																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	3	0.048128904	0.7053837	0.3204011	0.215214323	3.5244121	1.638714766	11																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	4	0.013437852	1.093235912	0.244085708	0.336232336	2.684942788	1.898930185	11																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	5	0.010625064	0.981077522	0.44133474	0.305818879	7.06135584	4.612824634	16																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	6	0.022813812	1.182307532	0.46048742	0.41745562	5.525849041	4.635814302	12																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	7	0.032814836	0.54286706	0.280006813	0.173595082	4.200102188	1.628086011	15																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	8	0.102509472	0.322219468	0.220472939	0.066690601	1.984256452	0.477503578	9																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	9	0.045937385	0.754451224	0.293246297	0.218333602	2.932462965	1.33662952	10																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	10	0.094696172	1.091114947	0.496791334	0.29338978	7.451870004	4.993187882	15																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	0	0.220472939	0.496791334	0.356914963	0.100421802	3.569149631	1.364643753	10	0.298702434	0.415127492														
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	-1	0.010625064	1.890505044	0.369734941	0.35525437	49.1747472	34.966976	133																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	1	0.010625064	0.922905972	0.338768782	0.269940483	7.114144412	3.940275188	21																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	2	0.043753456	0.965722856	0.372451765	0.287982726	3.352065885	1.994889312	9																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	3	0.023751408	0.691007228	0.293664157	0.200194764	4.698626508	2.021065286	16																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	4	0.010937596	1.953636508	0.520238055	0.432954824	10.4047611	9.16195027	20																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	5	0.015000512	1.220436436	0.432064048	0.352094541	6.480960724	4.659748614	15																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	6	0.022813812	1.664231876	0.436238121	0.459142398	6.543571808	6.016731597	15																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	7	0.015313044	0.751013372	0.326360517	0.287128081	1.305442068	0.755814887	4																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	8	0.092508448	0.502862964	0.247149282	0.124599324	2.471492816	0.766077589	10																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	9	0.02718926	0.704133572	0.292394986	0.203966606	2.0467649	0.889680429	7																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	10	0.024376472	0.814457368	0.29069009	0.255418118	3.778971175	1.946608865	13																
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	0	0.247149282	0.520238055	0.35500198	0.084773795	3.550019802	1.324943426	10	0.305860291	0.40414367														
Message Delay from Madrid (MsgMadrid) to CPDLondres	seconds	-1	0.010625064	1.953636508	0.370744626	0.33147847	48.1968014	32.152842	130																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	1	0.010625064	0.922905972	0.338768782	0.269940483	7.114144412	3.940275188	21																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	2	0.043753456	0.965722856	0.372451765	0.287982726	3.352065885	1.994889312	9																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	3	0.023751408	0.691007228	0.293664157	0.200194764	4.698626508	2.021065286	16																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	4	0.010937596	1.953636508	0.520238055	0.432954824	10.4047611	9.16195027	20																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	5	0.015000512	1.220436436	0.432064048	0.352094541	6.480960724	4.659748614	15																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	6	0.022813812	1.664231876	0.436238121	0.459142398	6.543571808	6.016731597	15																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	7	0.015313044	0.751013372	0.326360517	0.287128081	1.305442068	0.755814887	4																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	8	0.092508448	0.502862964	0.247149282	0.124599324	2.471492816	0.766077589	10																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	9	0.02718926	0.704133572	0.292394986	0.203966606	2.0467649	0.889680429	7																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	10	0.024376472	0.814457368	0.29069009	0.255418118	3.778971175	1.946608865	13																
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	0	0.247149282	0.520238055	0.35500198	0.084773795	3.550019802	1.324943426	10	0.305860291	0.40414367														
Message Delivery from Madrid (MsgMadrid) to CPDLondres	seconds	-1	0.010625064	1.953636508	0.370744626	0.33147847	48.1968014	32.152842	130																
EnlaceDublin Frame X Delay from RouterDublin	seconds	1	0.03	0.03	0.03	0	0.51	0.0153	17																
EnlaceDublin Frame X Delay from RouterDublin	seconds	2	0.03	0.03	0.03	0	0.51	0.0153	17																
EnlaceDublin Frame X Delay from RouterDublin	seconds	3	0.03	0.03	0.03	0	0.33	0.0099	11																
EnlaceDublin Frame X Delay from RouterDublin	seconds	4	0.03	0.03	0.03	0	0.33	0.0099	11																
EnlaceDublin Frame X Delay from RouterDublin	seconds	5	0.03	0.03	0.03	0	0.48	0.0144	16																
EnlaceDublin Frame X Delay from RouterDublin	seconds	6	0.03	0.03	0.03	0	0.36	0.0108	12																
EnlaceDublin Frame X Delay from RouterDublin	seconds	7	0.03	0.03	0.03	0	0.45	0.0135	15																
EnlaceDublin Frame X Delay from RouterDublin	seconds	8	0.03	0.03	0.03	0	0.27	0.0081	9																
EnlaceDublin Frame X Delay from RouterDublin	seconds	9	0.03	0.03	0.03	0	0.3	0.009	10																
EnlaceDublin Frame X Delay from RouterDublin	seconds	10	0.03	0.03	0.03	0	0.45	0.0135	15																
EnlaceDublin Frame X Delay from RouterDublin	seconds	0	0.03	0.03	0.03	3.93E-10	0.3	0.009	10	0.03	0.03														
EnlaceDublin Frame X Delay from RouterDublin	seconds	-1	0.03	0.03	0.03	0	3.99	0.1197	133																
EnlaceDublin Frame Y Delay from Dublin	seconds	1	0.022375	0.72375	0.136816176	0.16397539	2.325875	0.775312109	17																
EnlaceDublin Frame Y Delay from Dublin	seconds	2	0.01	0.757125	0.138426471	0.174793418	2.35325	0.845148656	17																
EnlaceDublin Frame Y Delay from Dublin	seconds	3	0.02025	0.283125	0.129147727	0.086076915	1.420625	0.264972078	11																
EnlaceDublin Frame Y Delay from Dublin	seconds	4	0.006375	0.43825	0.0965	0.131529875	1.0615	0.292735937	11																
EnlaceDublin Frame Y Delay from Dublin	seconds	5	0.00525	0.527125	0.153838235	0.134051493	2.61525	0.707812094	17																
EnlaceDublin Frame Y Delay from Dublin	seconds	6	0.010125	0.473875	0.178541667	0.171321224	2.1425	0.734737063	12																
EnlaceDublin Frame Y Delay from Dublin	seconds	7	0.014125	0.218125	0.112991667	0.069430923	1.694875	0.263816547	15																
EnlaceDublin Frame Y Delay from Dublin	seconds	8	0.042	0.129875	0.089180556	0.026673509	0.802625	0.077981828	9																
EnlaceDublin Frame Y Delay from Dublin	seconds	9	0.016	0.30275	0.1169875	0.088355398	1.169875	0.214927516	10																
EnlaceDublin Frame Y Delay from Dublin	seconds	10	0.038875	0.365	0.188232143	0.115966367	2.63525	0.684313531	14																
EnlaceDublin Frame Y Delay from Dublin	seconds	0	0.089180556	0.188232143	0.134066214	0.032515764	1.340662141	0.189252972	10	0.11521747	0.152914958														
EnlaceDublin Frame Y Delay from Dublin	seconds	-1	0.00525	0.757125	0.137004699	0.133357711	18.221625	4.861757359	133																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	1	0	1	0.007083333	0.083863936	0.425	0.425	35																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	2	0	1	0.007083333	0.083863936	0.425	0.425	36																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	3	0	1	0.004583333	0.067544995	0.275	0.275	23																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	4	0	1	0.004583333	0.067544995	0.275	0.275	24																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	5	0	1	0.006666667	0.081377037	0.4	0.4	33																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	6	0	1	0.005	0.07053368	0.3	0.3	25																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	7	0	1	0.00625	0.078809501	0.375	0.375	31																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	8	0	1	0.00375	0.061122316	0.225	0.225	19																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	9	0	1	0.004166667	0.064415103	0.25	0.25	21																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	10	0	1	0.00625	0.078809501	0.375	0.375	31																
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	0	0.00375	0.007083333	0.005541667	0.001258459	0.055416667	0.000321354	10	0.004812163	0.00627117														
EnlaceDublin Channel Utilization from RouterDublin	busy X channels	-1	0	1	0.005541667	0.074235817	3.325	3.325	278																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	1	0	1	0.037347917	0.189612895	2.240875	2.240875	35																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	2	0	1	0.037804167	0.190722342	2.26825	2.26825	35																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	3	0	1	0.022760417	0.149138795	1.365625	1.365625	23																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	4	0	1	0.016775	0.128427409	1.0065	1.0065	23																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	5	0	1	0.042170833	0.200978741	2.53025	2.53025	35																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	6	0	1	0.034708333	0.183040064	2.0825	2.0825	25																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	7	0	1	0.026997917	0.162077232	1.619875	1.619875	32																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	8	0	1	0.012627083	0.111658587	0.757625	0.757625	19																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	9	0	1	0.018664583	0.135337418	1.119875	1.119875	21																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	10	0	1	0.042754167	0.202302368	2.56525	2.56525	29																
EnlaceDublin Channel Utilization from Dublin	busy Y channels	0	0.012627083	0.042754167	0.029261042	0.011100737	0.292610417	0.009671123	10	0.022826164	0.035695919														
EnlaceDublin Channel Utilization from Dublin	busy Y channels	-1	0	1	0.029261042	0.168537334	17.556625	17.556625	277																
L<->M Channel Utilization from RouterMadrid	busy X channels	1	0	1	0.023011458	0.149939758	1.3806875	1.3806875	43																
L<->M Channel Utilization from RouterMadrid	busy X channels	2	0	1	0.009673958	0.097879379	0.5804375	0.5804375	19																
L<->M Channel Utilization from RouterMadrid	busy X channels	3	0	1	0.014015625	0.117555039	0.8409375	0.8409375	33																
