P1	Wed Feb 26 13:40:34 2020																								
Replication	Start Time	End Time																							
1	6	66																							
2	72	132																							
3	138	198																							
4	204	264																							
5	270	330																							
6	336	396																							
7	402	462																							
8	468	528																							
9	534	594																							
10	600	660																							
																									
Title	Units	Rep	Min	Max	Mean	Standard Deviation	Sum	Sum of Squares	Count	Lower Limit	Upper Limit	Interval	Int. Min	Int. Max	Int. Mean	Int. Std Dev	Int. Sum	Int. Sum of Squares	Int. Count	Int. Lower Limit	Int. Upper Limit				Intervalo de confianza
Call Type Statistics from Madrid to Dublin	seconds	1	3	3	3	0	9	27	3																
Call Type Statistics from Madrid to Dublin	seconds	2	3	3	3	0	3	9	1																
Call Type Statistics from Madrid to Dublin	seconds	3	3	3	3	0	12	36	4																
Call Type Statistics from Madrid to Dublin	seconds	4	3	3	3	0	9	27	3																
Call Type Statistics from Madrid to Dublin	seconds	5	3	3	3	0	9	27	3																
Call Type Statistics from Madrid to Dublin	seconds	6	3	3	3	0	12	36	4																
Call Type Statistics from Madrid to Dublin	seconds	7	3	3	3	0	3	9	1																
Call Type Statistics from Madrid to Dublin	seconds	8	3	3	3	0	9	27	3																
Call Type Statistics from Madrid to Dublin	seconds	9	0	0	0	0	0	0	0																
Call Type Statistics from Madrid to Dublin	seconds	10	3	3	3	0	3	9	1																
Call Type Statistics from Madrid to Dublin	seconds	0	0	3	2.7	0.948683298	27	81	10	2.150067084	3.249932916														
Call Type Statistics from Madrid to Dublin	seconds	-1	0	3	3	0	69	207	23																
D<->L Call Utilization	Bits/Second	1	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	2	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	3	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	4	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	5	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	6	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	7	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	8	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	9	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	10	0	0	0	0	0	0	1																
D<->L Call Utilization	Bits/Second	0	0	0	0	0	0	0	10	0	0														
D<->L Call Utilization	Bits/Second	-1	0	0	0	0	0	0	10																
D<->L Channel Utilization from RouterDublin	busy X channels	1	0	1	0.018673958	0.135370756	1.1204375	1.1204375	35																
D<->L Channel Utilization from RouterDublin	busy X channels	2	0	1	0.018902083	0.136179274	1.134125	1.134125	35																
D<->L Channel Utilization from RouterDublin	busy X channels	3	0	1	0.011380208	0.106069313	0.6828125	0.6828125	23																
D<->L Channel Utilization from RouterDublin	busy X channels	4	0	1	0.0083875	0.091198409	0.50325	0.50325	23																
D<->L Channel Utilization from RouterDublin	busy X channels	5	0	1	0.021085417	0.14366914	1.265125	1.265125	35																
D<->L Channel Utilization from RouterDublin	busy X channels	6	0	1	0.017354167	0.130587134	1.04125	1.04125	25																
D<->L Channel Utilization from RouterDublin	busy X channels	7	0	1	0.013498958	0.115398165	0.8099375	0.8099375	31																
D<->L Channel Utilization from RouterDublin	busy X channels	8	0	1	0.006313542	0.079206571	0.3788125	0.3788125	19																
D<->L Channel Utilization from RouterDublin	busy X channels	9	0	1	0.009332292	0.096151963	0.5599375	0.5599375	21																
D<->L Channel Utilization from RouterDublin	busy X channels	10	0	1	0.022175336	0.147253491	1.330520168	1.330520168	31																
D<->L Channel Utilization from RouterDublin	busy X channels	0	0.006313542	0.022175336	0.014710346	0.00566278	0.147103461	0.002452547	10	0.011427745	0.017992948														
D<->L Channel Utilization from RouterDublin	busy X channels	-1	0	1	0.014710346	0.12039083	8.826207668	8.826207668	278																
D<->L Channel Utilization from RouterLondres	busy Y channels	1	0	1	0.003541667	0.059406424	0.2125	0.2125	35																
D<->L Channel Utilization from RouterLondres	busy Y channels	2	0	1	0.003541667	0.059406424	0.2125	0.2125	35																
D<->L Channel Utilization from RouterLondres	busy Y channels	3	0	1	0.002291667	0.047816471	0.1375	0.1375	23																
D<->L Channel Utilization from RouterLondres	busy Y channels	4	0	1	0.002291667	0.047816471	0.1375	0.1375	23																
D<->L Channel Utilization from RouterLondres	busy Y channels	5	0	1	0.003333333	0.057638722	0.2	0.2	33																
D<->L Channel Utilization from RouterLondres	busy Y channels	6	0	1	0.0025	0.049937461	0.15	0.15	25																
D<->L Channel Utilization from RouterLondres	busy Y channels	7	0	1	0.003125	0.055814285	0.1875	0.1875	31																
D<->L Channel Utilization from RouterLondres	busy Y channels	8	0	1	0.001875	0.043260656	0.1125	0.1125	19																
D<->L Channel Utilization from RouterLondres	busy Y channels	9	0	1	0.002083333	0.045595976	0.125	0.125	21																
D<->L Channel Utilization from RouterLondres	busy Y channels	10	0	1	0.003125	0.055814285	0.1875	0.1875	31																
D<->L Channel Utilization from RouterLondres	busy Y channels	0	0.001875	0.003541667	0.002770833	0.00062923	0.027708333	8.03E-05	10	0.002406081	0.003135585														
D<->L Channel Utilization from RouterLondres	busy Y channels	-1	0	1	0.002770833	0.052565729	1.6625	1.6625	276																
D<->L Frame X Delay from RouterDublin	seconds	1	0.0086875	0.359375	0.065908088	0.081987695	1.1204375	0.18811959	17																
D<->L Frame X Delay from RouterDublin	seconds	2	0.0025	0.3760625	0.066713235	0.087396709	1.134125	0.205510289	17																
D<->L Frame X Delay from RouterDublin	seconds	3	0.007625	0.1390625	0.062073864	0.043038457	0.6828125	0.062760207	11																
D<->L Frame X Delay from RouterDublin	seconds	4	0.0006875	0.216625	0.04575	0.065764937	0.50325	0.070598984	11																
D<->L Frame X Delay from RouterDublin	seconds	5	0.000125	0.2610625	0.074419118	0.067025747	1.265125	0.170521148	17																
D<->L Frame X Delay from RouterDublin	seconds	6	0.0025625	0.2344375	0.086770833	0.085660612	1.04125	0.178403016	12																
D<->L Frame X Delay from RouterDublin	seconds	7	0.0045625	0.1065625	0.053995833	0.034715461	0.8099375	0.061810699	15																
D<->L Frame X Delay from RouterDublin	seconds	8	0.0185	0.0624375	0.042090278	0.013336754	0.3788125	0.017545145	9																
D<->L Frame X Delay from RouterDublin	seconds	9	0.0055	0.148875	0.05599375	0.044177699	0.5599375	0.050869691	10																
D<->L Frame X Delay from RouterDublin	seconds	10	0.0169375	0.18	0.0901	0.056303566	1.3515	0.169321523	15																
D<->L Frame X Delay from RouterDublin	seconds	0	0.042090278	0.0901	0.0643815	0.015981996	0.643814999	0.043748593	10	0.055117054	0.073645946														0.009264446
D<->L Frame X Delay from RouterDublin	seconds	-1	0.000125	0.3760625	0.066023787	0.066430048	8.8471875	1.175460293	134																
D<->L Frame Y Delay from RouterLondres	seconds	1	0.0125	0.0125	0.0125	2.33E-10	0.2125	0.00265625	17																
D<->L Frame Y Delay from RouterLondres	seconds	2	0.0125	0.0125	0.0125	1.65E-10	0.2125	0.00265625	17																
D<->L Frame Y Delay from RouterLondres	seconds	3	0.0125	0.0125	0.0125	1.65E-10	0.1375	0.00171875	11																
D<->L Frame Y Delay from RouterLondres	seconds	4	0.0125	0.0125	0.0125	1.65E-10	0.1375	0.00171875	11																
D<->L Frame Y Delay from RouterLondres	seconds	5	0.0125	0.0125	0.0125	0	0.2	0.0025	16																
D<->L Frame Y Delay from RouterLondres	seconds	6	0.0125	0.0125	0.0125	1.65E-10	0.15	0.001875	12																
D<->L Frame Y Delay from RouterLondres	seconds	7	0.0125	0.0125	0.0125	0	0.1875	0.00234375	15																
D<->L Frame Y Delay from RouterLondres	seconds	8	0.0125	0.0125	0.0125	0	0.1125	0.00140625	9																
D<->L Frame Y Delay from RouterLondres	seconds	9	0.0125	0.0125	0.0125	0	0.125	0.0015625	10																
D<->L Frame Y Delay from RouterLondres	seconds	10	0.0125	0.0125	0.0125	0	0.1875	0.00234375	15																
D<->L Frame Y Delay from RouterLondres	seconds	0	0.0125	0.0125	0.0125	1.96E-10	0.125	0.0015625	10	0.0125	0.0125														0
D<->L Frame Y Delay from RouterLondres	seconds	-1	0.0125	0.0125	0.0125	0	1.6625	0.02078125	133																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	1	0	1	0.046022917	0.209534741	2.761375	2.761375	44																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	2	0	1	0.019347917	0.1377446	1.160875	1.160875	20																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	3	0	1	0.02803125	0.165062107	1.681875	1.681875	33																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	4	0	1	0.061791667	0.240776778	3.7075	3.7075	42																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	5	0	1	0.037216667	0.189292331	2.233	2.233	30																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	6	0	1	0.038327083	0.191984682	2.299625	2.299625	32																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	7	0	1	0.008435417	0.091456331	0.506125	0.506125	9																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	8	0	1	0.015808333	0.124733435	0.9485	0.9485	21																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	9	0	1	0.013177083	0.114032661	0.790625	0.790625	15																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	10	0	1	0.021077083	0.143641359	1.264625	1.264625	27																
EnlaceMadrid Channel Utilization from Madrid	busy X channels	0	0.008435417	0.061791667	0.028923542	0.016745425	0.289235417	0.010889396	10	0.01921655	0.038630533														
EnlaceMadrid Channel Utilization from Madrid	busy X channels	-1	0	1	0.028923542	0.167591678	17.354125	17.354125	273																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	1	0	1	0.00875	0.093131292	0.525	0.525	43																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	2	0	1	0.00375	0.061122316	0.225	0.225	19																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	3	0	1	0.006666667	0.081377037	0.4	0.4	34																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	4	0	1	0.008333333	0.090905934	0.5	0.5	42																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	5	0	1	0.00625	0.078809501	0.375	0.375	31																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	6	0	1	0.00625	0.078809501	0.375	0.375	31																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	7	0	1	0.001666667	0.040790794	0.1	0.1	9																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	8	0	1	0.004166667	0.064415103	0.25	0.25	21																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	9	0	1	0.002916667	0.053927356	0.175	0.175	15																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	10	0	1	0.005416667	0.073398409	0.325	0.325	27																
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	0	0.001666667	0.00875	0.005416667	0.002290614	0.054166667	0.000340625	10	0.004088843	0.00674449														
EnlaceMadrid Channel Utilization from RouterMadrid	busy Y channels	-1	0	1	0.005416667	0.073398409	3.25	3.25	272																
EnlaceMadrid Frame X Delay from Madrid	seconds	1	0.00525	0.370125	0.136494048	0.107965138	2.866375	0.636029016	21																
EnlaceMadrid Frame X Delay from Madrid	seconds	2	0.013875	0.38725	0.133986111	0.123174115	1.205875	0.298117266	9																
EnlaceMadrid Frame X Delay from Madrid	seconds	3	0.0105	0.277375	0.110117187	0.078864828	1.761875	0.293527297	16																
EnlaceMadrid Frame X Delay from Madrid	seconds	4	0.005375	0.782375	0.190375	0.175207685	3.8075	1.338807469	20																
EnlaceMadrid Frame X Delay from Madrid	seconds	5	0.007	0.489125	0.1645	0.141237634	2.303	0.658116469	14																
EnlaceMadrid Frame X Delay from Madrid	seconds	6	0.010125	0.666625	0.158308333	0.173473292	2.374625	0.827317672	15																
EnlaceMadrid Frame X Delay from Madrid	seconds	7	0.007125	0.301375	0.13153125	0.114839473	0.526125	0.121954297	4																
EnlaceMadrid Frame X Delay from Madrid	seconds	8	0.038	0.202125	0.09985	0.049834627	0.9985	0.124535125	10																
EnlaceMadrid Frame X Delay from Madrid	seconds	9	0.011875	0.282625	0.117946429	0.081578289	0.825625	0.143964641	7																
EnlaceMadrid Frame X Delay from Madrid	seconds	10	0.01075	0.32675	0.102278846	0.096865653	1.329625	0.257970922	13																
EnlaceMadrid Frame X Delay from Madrid	seconds	0	0.09985	0.190375	0.13453872	0.029267461	1.345387204	0.188715932	10	0.117572953	0.151504488														
EnlaceMadrid Frame X Delay from Madrid	seconds	-1	0.00525	0.782375	0.139528101	0.130263789	17.999125	4.700340172	129																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	1	0.03	0.03	0.03	0	0.63	0.0189	21																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	2	0.03	0.03	0.03	0	0.27	0.0081	9																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	3	0.03	0.03	0.03	0	0.48	0.0144	16																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	4	0.03	0.03	0.03	0	0.63	0.0189	21																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	5	0.03	0.03	0.03	0	0.45	0.0135	15																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	6	0.03	0.03	0.03	0	0.45	0.0135	15																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	7	0.03	0.03	0.03	0	0.12	0.0036	4																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	8	0.03	0.03	0.03	0	0.3	0.009	10																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	9	0.03	0.03	0.03	0	0.21	0.0063	7																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	10	0.03	0.03	0.03	0	0.39	0.0117	13																
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	0	0.03	0.03	0.03	5.55E-10	0.3	0.009	10	0.03	0.03														
EnlaceMadrid Frame Y Delay from RouterMadrid	seconds	-1	0.03	0.03	0.03	0	3.93	0.1179	131																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	1	0	1	0.083370833	0.276441924	5.00225	5.00225	77																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	2	0	1	0.057152083	0.232132985	3.429125	3.429125	53																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	3	0	1	0.050791667	0.219572023	3.0475	3.0475	55																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	4	0	1	0.078566667	0.26906123	4.714	4.714	63																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	5	0	1	0.079573413	0.270631641	4.774404803	4.774404803	65																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	6	0	1	0.073035417	0.260194628	4.382125	4.382125	55																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	7	0	1	0.035433333	0.184872421	2.126	2.126	39																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	8	0	1	0.028435417	0.166213248	1.706125	1.706125	40																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	9	0	1	0.031841667	0.175578401	1.9105	1.9105	35																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	10	0	1	0.066127083	0.248504109	3.967625	3.967625	57																
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	0	0.028435417	0.083370833	0.058432758	0.020929979	0.58432758	0.038086448	10	0.046300064	0.070565452														
EnlaceLondres Channel Utilization from RouterLondres	busy X channels	-1	0	1	0.058432758	0.234559951	35.0596548	35.0596548	539																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	1	0	1	0.015833333	0.124830441	0.95	0.95	77																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	2	0	1	0.010833333	0.10351798	0.65	0.65	53																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	3	0	1	0.01125	0.105467708	0.675	0.675	56																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	4	0	1	0.012916667	0.112915129	0.775	0.775	63																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	5	0	1	0.012916667	0.112915129	0.775	0.775	63																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	6	0	1	0.01125	0.105467708	0.675	0.675	55																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	7	0	1	0.007916667	0.088622757	0.475	0.475	39																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	8	0	1	0.007916667	0.088622757	0.475	0.475	39																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	9	0	1	0.007083333	0.083863936	0.425	0.425	35																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	10	0	1	0.011666667	0.107380424	0.7	0.7	57																
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	0	0.007083333	0.015833333	0.010958333	0.002700666	0.109583333	0.001266493	10	0.009392811	0.012523856														
EnlaceLondres Channel Utilization from CPDLondres	busy Y channels	-1	0	1	0.010958333	0.104106908	6.575	6.575	537																
EnlaceLondres Frame X Delay from RouterLondres	seconds	1	0.00525	0.72375	0.136638158	0.135906474	5.19225	1.411341125	38																
EnlaceLondres Frame X Delay from RouterLondres	seconds	2	0.01	0.757125	0.136889423	0.158849149	3.559125	1.143265922	26																
EnlaceLondres Frame X Delay from RouterLondres	seconds	3	0.0105	0.283125	0.11787037	0.082412	3.1825	0.558499375	27																
EnlaceLondres Frame X Delay from RouterLondres	seconds	4	0.005375	0.782375	0.157064516	0.167215939	4.869	1.631543406	31																
EnlaceLondres Frame X Delay from RouterLondres	seconds	5	0.00525	0.489125	0.151459677	0.123055031	4.69525	1.180559812	31																
EnlaceLondres Frame X Delay from RouterLondres	seconds	6	0.010125	0.666625	0.167300926	0.172812845	4.517125	1.562054734	27																
EnlaceLondres Frame X Delay from RouterLondres	seconds	7	0.007125	0.301375	0.116894737	0.081482201	2.221	0.385770844	19																
EnlaceLondres Frame X Delay from RouterLondres	seconds	8	0.038	0.202125	0.094796053	0.040896154	1.801125	0.202516953	19																
EnlaceLondres Frame X Delay from RouterLondres	seconds	9	0.011875	0.30275	0.117382353	0.085631107	1.9955	0.358892156	17																
EnlaceLondres Frame X Delay from RouterLondres	seconds	10	0.01075	0.365	0.146700893	0.113400328	4.107625	0.962662016	28																
EnlaceLondres Frame X Delay from RouterLondres	seconds	0	0.094796053	0.167300926	0.134299711	0.022329198	1.342997106	0.18485146	10	0.121355917	0.147243504														
EnlaceLondres Frame X Delay from RouterLondres	seconds	-1	0.00525	0.782375	0.13741635	0.129796723	36.1405	9.397106344	263																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	1	0.03	0.03	0.03	0	1.14	0.0342	38																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	2	0.03	0.03	0.03	0	0.78	0.0234	26																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	3	0.03	0.03	0.03	0	0.81	0.0243	27																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	4	0.03	0.03	0.03	0	0.93	0.0279	31																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	5	0.03	0.03	0.03	4.66E-10	0.93	0.0279	31																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	6	0.03	0.03	0.03	3.29E-10	0.81	0.0243	27																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	7	0.03	0.03	0.03	0	0.57	0.0171	19																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	8	0.03	0.03	0.03	0	0.57	0.0171	19																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	9	0.03	0.03	0.03	0	0.51	0.0153	17																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	10	0.03	0.03	0.03	3.29E-10	0.84	0.0252	28																
EnlaceLondres Frame Y Delay from CPDLondres	seconds	0	0.03	0.03	0.03	0	0.3	0.009	10	0.03	0.03														
EnlaceLondres Frame Y Delay from CPDLondres	seconds	-1	0.03	0.03	0.03	0	7.89	0.2367	263																
D<->M Channel Utilization from RouterDublin	busy X channels	1	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	2	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	3	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	4	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	5	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	6	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	7	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	8	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	9	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	10	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterDublin	busy X channels	0	0	0	0	0	0	0	10	0	0														
D<->M Channel Utilization from RouterDublin	busy X channels	-1	0	0	0	0	0	0	10																
D<->M Channel Utilization from RouterMadrid	busy Y channels	1	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	2	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	3	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	4	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	5	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	6	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	7	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	8	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	9	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	10	0	0	0	0	0	0	1																
D<->M Channel Utilization from RouterMadrid	busy Y channels	0	0	0	0	0	0	0	10	0	0														
D<->M Channel Utilization from RouterMadrid	busy Y channels	-1	0	0	0	0	0	0	10																
D<->M Frame X Delay from RouterDublin	seconds	1	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	2	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	3	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	4	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	5	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	6	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	7	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	8	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	9	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	10	0	0	0	0	0	0	0																
D<->M Frame X Delay from RouterDublin	seconds	0	0	0	0	0	0	0	10	0	0														
D<->M Frame X Delay from RouterDublin	seconds	-1	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	1	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	2	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	3	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	4	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	5	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	6	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	7	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	8	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	9	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	10	0	0	0	0	0	0	0																
D<->M Frame Y Delay from RouterMadrid	seconds	0	0	0	0	0	0	0	10	0	0														
D<->M Frame Y Delay from RouterMadrid	seconds	-1	0	0	0	0	0	0	0																
																									
Message destination counters																									
Message name	Source	Destination	Replication	Max packet size	Max window size	Pkts created	Pkts delivered	Pkts retransmitted	Pkts dropped	Acks created	Acks delivered	Acks retransmitted	Acks dropped	Acks blocked	Window resets	Retransmissions	Congestion avoidance	Late packet retrans	Late ack retrans	DE0 created	DE0 dropped	DE1 created	DE1 dropped	Congested packets	
RespLondres	CPDLondres	ECHO	1	64000	1	38	38	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	
MsgDublin	Dublin	CPDLondres	1	64000	1	17	17	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	1	64000	1	21	21	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	
RespLondres	CPDLondres	ECHO	2	64000	1	26	26	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	
MsgDublin	Dublin	CPDLondres	2	64000	1	17	17	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	2	64000	1	9	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	
RespLondres	CPDLondres	ECHO	3	64000	1	27	27	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	
MsgDublin	Dublin	CPDLondres	3	64000	1	11	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	3	64000	1	16	16	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	
RespLondres	CPDLondres	ECHO	4	64000	1	31	32	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	
MsgDublin	Dublin	CPDLondres	4	64000	1	11	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	4	64000	1	20	20	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	
RespLondres	CPDLondres	ECHO	5	64000	1	31	31	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	
MsgDublin	Dublin	CPDLondres	5	64000	1	17	16	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	5	64000	1	14	15	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	
RespLondres	CPDLondres	ECHO	6	64000	1	27	27	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	
MsgDublin	Dublin	CPDLondres	6	64000	1	12	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	6	64000	1	15	15	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	
RespLondres	CPDLondres	ECHO	7	64000	1	19	19	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	
MsgDublin	Dublin	CPDLondres	7	64000	1	15	15	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	7	64000	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	
RespLondres	CPDLondres	ECHO	8	64000	1	19	19	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	
MsgDublin	Dublin	CPDLondres	8	64000	1	9	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	8	64000	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	
RespLondres	CPDLondres	ECHO	9	64000	1	17	17	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	
MsgDublin	Dublin	CPDLondres	9	64000	1	10	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	
MsgMadrid	Madrid	CPDLondres	9	64000	1	7	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	
